location,n_rows,sources,river_mile_site,river_mile,river_mile_site_id,match_method
1/4 Mile Downstream of Yuba City Boat Ramp,771,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
1/4 Mile Upstream of Big Hole Island,51,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
1/4 Mile Upstream of Boyd Pump Boat Ramp,259,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
1/4 Mile Upstream of Live Oak Boat Ramp,700,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
24th St. Levee OWA,9,2015-2025,NA,NA,NA,unresolved_not_in_subsite_table
250 yards below Honcut Confluence,57,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Above G95 SC - RR,21,2008-2014,NA,NA,NA,unresolved_not_in_subsite_table
Auditorium RR - Downstream,67,"2008-2014, 2015-2025",NA,NA,NA,unresolved_not_in_subsite_table
Bedrock Park,1185,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Below Big Hole,148,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Below Big Hole Island,68,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Below Gridley Boat Ramp,165,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Below Herringer Riffle,37,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Below Junkyard Riffle,50,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Below Long Glide,50,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Below Upper Herringer,50,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Between Steep and Eye (Wier Site),113,2008-2014,NA,NA,NA,unresolved_not_in_subsite_table
Big Bar,3,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Big Hole Island Boat Ramp,188,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Big Riffle,635,"1997-2001, 2008-2014",NA,NA,NA,unresolved_not_in_subsite_table
Boyd Pump Boat Ramp,1629,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Boyds Bump Boat Launch- Across,681,"2008-2014, 2015-2025",NA,NA,NA,unresolved_not_in_subsite_table
Boyds Pump-  1 mile Downstream RL,86,2008-2014,NA,NA,NA,unresolved_not_in_subsite_table
Clay Banks upstream backwater RL,29,2015-2025,NA,NA,NA,unresolved_not_in_subsite_table
Developing Riffle,471,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Downstream Bum Beach,23,2015-2025,NA,NA,NA,unresolved_not_in_subsite_table
Downstream Clay Banks RR,30,2015-2025,NA,NA,NA,unresolved_not_in_subsite_table
Ellis Road Beach,27,2015-2025,NA,NA,NA,unresolved_not_in_subsite_table
Eye Main RL,2,2008-2014,NA,NA,NA,unresolved_not_in_subsite_table
Eye Main RR - Upstream,37,2008-2014,NA,NA,NA,unresolved_not_in_subsite_table
Eye Riffle - Upper Side Channel,36,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Eye side channel - Bottom,426,"2008-2014, 2015-2025",NA,NA,NA,unresolved_not_in_subsite_table
G-95,127,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
G95 (Bar Complex btwn Big Hole Isl/Hour Riffle),1304,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
